,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
log_lik[332],-0.0436049,0.000178219,0.0132359,-0.0675286,-0.0422519,-0.024345,5515.68,1371.04,0.999289
log_lik[333],-0.0644673,0.000993145,0.0601751,-0.184323,-0.0467482,-0.0114077,3671.21,912.554,0.999975
log_lik[334],-3.2211,0.00598311,0.409131,-3.94654,-3.19845,-2.573,4675.96,1162.31,0.999767
log_lik[335],-0.0430442,0.000263722,0.0177227,-0.0766398,-0.0404636,-0.019439,4516.13,1122.58,0.999713
log_lik[336],-0.0490856,0.000381843,0.0217492,-0.0904999,-0.0449544,-0.0213223,3244.28,806.433,0.999413
log_lik[337],-0.0594686,0.00056838,0.0352175,-0.128055,-0.050933,-0.0188075,3839.19,954.311,0.999725
log_lik[338],-3.08163,0.00858923,0.478461,-3.90721,-3.06777,-2.31285,3103.02,771.319,0.999598
log_lik[339],-0.0479317,0.000377848,0.0206069,-0.0863743,-0.0440292,-0.0217019,2974.35,739.335,0.999677
log_lik[340],-0.0491994,0.000389233,0.0254233,-0.098895,-0.0441538,-0.0181745,4266.24,1060.46,0.999966
log_lik[341],-0.0751804,0.00138281,0.0742025,-0.206038,-0.0536749,-0.0131264,2879.48,715.753,1.00114
log_lik[342],-0.0483377,0.000379409,0.0207057,-0.0871639,-0.044341,-0.0218305,2978.28,740.313,0.999734
log_lik[343],-0.0503676,0.000415104,0.0230709,-0.0932698,-0.045836,-0.0214737,3088.99,767.833,0.999912
log_lik[344],-0.0428786,0.000285855,0.0186875,-0.0786423,-0.039732,-0.0185684,4273.75,1062.33,0.99974
log_lik[345],-0.0435404,0.000308299,0.0199974,-0.0821059,-0.0399261,-0.0181649,4207.29,1045.81,0.999821
log_lik[346],-3.2293,0.00429063,0.312711,-3.7623,-3.21071,-2.73607,5311.83,1320.37,0.999301
log_lik[347],-3.23643,0.00606324,0.405433,-3.91949,-3.21287,-2.60437,4471.24,1111.42,0.999537
log_lik[348],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[349],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[350],-0.0487059,0.000410131,0.0221094,-0.0904889,-0.044296,-0.0209349,2906.11,722.373,0.999699
log_lik[351],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[352],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[353],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[354],-0.0421526,0.000184269,0.013848,-0.0676121,-0.0405434,-0.0226622,5647.67,1403.85,0.999452
log_lik[355],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[356],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[357],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[358],-0.044613,0.000247833,0.0171617,-0.075913,-0.0420672,-0.0217381,4795.18,1191.94,0.999233
log_lik[359],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[360],-0.043911,0.000252147,0.0173581,-0.0767302,-0.0412531,-0.020578,4739.09,1178.0,0.999696
log_lik[361],-0.0461844,0.000292748,0.0168665,-0.0772232,-0.0432521,-0.023492,3319.43,825.114,0.999504
log_lik[362],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[363],-0.0482292,0.000378854,0.0206693,-0.0867277,-0.0443062,-0.0217883,2976.51,739.874,0.999719
log_lik[364],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[365],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[366],-0.0843109,0.000319774,0.0197659,-0.118633,-0.0825763,-0.0552913,3820.74,949.724,1.00002
log_lik[367],-0.0428091,0.000194228,0.0143905,-0.0696378,-0.0410361,-0.0228079,5489.42,1364.51,0.999484
log_lik[368],-0.0430077,0.000185553,0.0139246,-0.069149,-0.0415213,-0.0233467,5631.55,1399.84,0.999434
log_lik[369],-0.0440975,0.000194957,0.0132528,-0.0678001,-0.0425615,-0.0254433,4621.03,1148.65,0.999257
log_lik[370],-3.17736,0.00762628,0.40467,-3.85884,-3.17029,-2.54434,2815.63,699.883,0.999561
log_lik[371],-0.0429108,0.000222764,0.0158403,-0.0721799,-0.0409252,-0.0212206,5056.36,1256.86,0.999605
